filename,width,height,class,xmin,ymin,xmax,ymax
6429.png,1092,1491,DIP,181,423,288,543
6429.png,1092,1491,DIP,344,223,447,337
6429.png,1092,1491,DIP,502,136,613,264
6429.png,1092,1491,DIP,739,183,841,302
6429.png,1092,1491,PIP,906,580,1024,715
6429.png,1092,1491,PIP,222,531,314,645
6429.png,1092,1491,PIP,352,363,471,495
6429.png,1092,1491,PIP,498,288,625,429
6429.png,1092,1491,PIP,687,316,813,440
6429.png,1092,1491,MCP,382,622,504,779
6429.png,1092,1491,MCP,277,696,391,841
6429.png,1092,1491,MCP,493,593,614,747
6429.png,1092,1491,MCP,634,566,773,725
6429.png,1092,1491,MCP,836,750,960,887
6429.png,1092,1491,Radius,505,1173,732,1342
6429.png,1092,1491,Ulna,395,1179,556,1318
6429.png,1092,1491,Wrist,395,939,857,1266
4218.png,858,1466,PIP,381,332,458,431
4218.png,858,1466,DIP,391,189,463,285
4218.png,858,1466,DIP,528,233,595,324
4218.png,858,1466,PIP,512,342,588,438
4218.png,858,1466,DIP,180,414,234,480
4218.png,858,1466,DIP,265,267,326,348
4218.png,858,1466,PIP,654,544,725,629
4218.png,858,1466,PIP,194,506,258,590
4218.png,858,1466,MCP,213,661,296,765
4218.png,858,1466,MCP,621,684,711,785
4218.png,858,1466,MCP,488,543,580,651
4218.png,858,1466,PIP,273,398,342,487
4218.png,858,1466,MCP,293,599,372,707
4218.png,858,1466,MCP,376,549,465,661
4218.png,858,1466,Wrist,298,863,607,1063
4218.png,858,1466,Ulna,305,1051,397,1147
4218.png,858,1466,Radius,384,1016,537,1129
4225.png,1057,1376,PIP,487,314,556,411
4225.png,1057,1376,PIP,652,354,726,447
4225.png,1057,1376,PIP,361,372,429,465
4225.png,1057,1376,DIP,335,261,391,331
4225.png,1057,1376,DIP,480,193,539,275
4225.png,1057,1376,DIP,197,414,262,502
4225.png,1057,1376,PIP,251,494,310,582
4225.png,1057,1376,Wrist,393,791,723,1016
4225.png,1057,1376,MCP,410,559,501,668
4225.png,1057,1376,PIP,873,616,947,703
4225.png,1057,1376,MCP,331,606,424,710
4225.png,1057,1376,MCP,602,524,704,640
4225.png,1057,1376,MCP,764,707,862,804
4225.png,1057,1376,DIP,681,258,742,342
4225.png,1057,1376,MCP,496,529,589,638
4225.png,1057,1376,Ulna,399,983,496,1092
4225.png,1057,1376,Radius,493,947,646,1074
6442.png,1297,1564,DIP,312,473,419,594
6442.png,1297,1564,DIP,431,267,534,381
6442.png,1297,1564,DIP,598,149,709,277
6442.png,1297,1564,DIP,805,198,907,317
6442.png,1297,1564,PIP,1022,614,1140,749
6442.png,1297,1564,PIP,345,581,437,695
6442.png,1297,1564,PIP,451,394,570,526
6442.png,1297,1564,PIP,596,294,723,435
6442.png,1297,1564,PIP,787,332,913,456
6442.png,1297,1564,MCP,502,631,624,788
6442.png,1297,1564,MCP,401,711,515,856
6442.png,1297,1564,MCP,607,566,728,720
6442.png,1297,1564,MCP,754,554,893,713
6442.png,1297,1564,MCP,959,753,1083,890
6442.png,1297,1564,Radius,621,1218,848,1387
6442.png,1297,1564,Ulna,504,1224,665,1363
6442.png,1297,1564,Wrist,489,979,943,1263
6439.png,1360,1525,DIP,306,557,408,671
6439.png,1360,1525,DIP,480,384,577,492
6439.png,1360,1525,DIP,641,297,746,419
6439.png,1360,1525,DIP,908,350,1005,463
6439.png,1360,1525,PIP,1103,756,1215,884
6439.png,1360,1525,PIP,371,647,458,755
6439.png,1360,1525,PIP,498,495,611,621
6439.png,1360,1525,PIP,636,420,756,554
6439.png,1360,1525,PIP,864,466,983,584
6439.png,1360,1525,MCP,568,704,684,854
6439.png,1360,1525,MCP,467,769,575,906
6439.png,1360,1525,MCP,671,667,786,814
6439.png,1360,1525,MCP,793,657,925,808
6439.png,1360,1525,MCP,1004,841,1121,972
6439.png,1360,1525,Radius,632,1193,847,1353
6439.png,1360,1525,Ulna,529,1218,682,1350
6439.png,1360,1525,Wrist,539,993,970,1263
4344.png,1151,1723,PIP,495,399,578,513
4344.png,1151,1723,PIP,353,480,431,587
4344.png,1151,1723,PIP,233,628,309,723
4344.png,1151,1723,DIP,322,364,391,454
4344.png,1151,1723,DIP,194,553,263,642
4344.png,1151,1723,DIP,505,255,578,357
4344.png,1151,1723,DIP,728,282,799,381
4344.png,1151,1723,MCP,814,755,935,891
4344.png,1151,1723,MCP,305,765,408,893
4344.png,1151,1723,PIP,691,397,780,508
4344.png,1151,1723,MCP,409,690,510,825
4344.png,1151,1723,MCP,495,630,599,767
4344.png,1151,1723,MCP,615,604,735,748
4344.png,1151,1723,Wrist,427,950,804,1197
4344.png,1151,1723,PIP,899,599,982,710
4344.png,1151,1723,Ulna,477,1159,589,1272
4344.png,1151,1723,Radius,585,1117,748,1265
4202.png,941,1102,PIP,429,238,503,321
4202.png,941,1102,PIP,313,290,388,374
4202.png,941,1102,PIP,556,240,631,319
4202.png,941,1102,DIP,288,199,354,270
4202.png,941,1102,Wrist,354,611,644,802
4202.png,941,1102,DIP,421,137,492,216
4202.png,941,1102,DIP,181,343,249,412
4202.png,941,1102,MCP,281,477,354,568
4202.png,941,1102,DIP,571,154,637,227
4202.png,941,1102,MCP,358,424,432,522
4202.png,941,1102,MCP,440,391,513,489
4202.png,941,1102,PIP,727,424,813,515
4202.png,941,1102,MCP,667,514,743,597
4202.png,941,1102,MCP,532,380,616,478
4202.png,941,1102,PIP,220,395,280,466
4202.png,941,1102,Ulna,365,775,477,863
4202.png,941,1102,Radius,444,760,581,852
4279.png,1950,2460,MCP,899,867,1035,1038
4279.png,1950,2460,PIP,741,683,859,805
4279.png,1950,2460,MCP,761,905,899,1074
4279.png,1950,2460,MCP,1055,893,1203,1066
4279.png,1950,2460,PIP,906,619,1022,742
4279.png,1950,2460,PIP,1376,1001,1512,1137
4279.png,1950,2460,DIP,542,734,654,836
4279.png,1950,2460,Wrist,713,1281,1181,1598
4279.png,1950,2460,MCP,623,979,773,1149
4279.png,1950,2460,DIP,747,533,860,659
4279.png,1950,2460,MCP,1252,1136,1365,1264
4279.png,1950,2460,PIP,1131,666,1248,806
4279.png,1950,2460,Radius,857,1526,1084,1736
4279.png,1950,2460,DIP,1168,535,1281,653
4279.png,1950,2460,DIP,926,470,1028,579
4279.png,1950,2460,Ulna,730,1594,858,1735
4279.png,1950,2460,PIP,576,820,692,933
4287.png,941,1433,PIP,444,391,516,482
4287.png,941,1433,PIP,302,449,373,540
4287.png,941,1433,PIP,599,418,675,501
4287.png,941,1433,DIP,636,324,699,410
4287.png,941,1433,DIP,448,256,514,348
4287.png,941,1433,MCP,681,756,776,866
4287.png,941,1433,DIP,291,342,350,423
4287.png,941,1433,MCP,336,631,425,754
4287.png,941,1433,MCP,423,588,513,706
4287.png,941,1433,PIP,791,666,873,768
4287.png,941,1433,MCP,534,585,636,698
4287.png,941,1433,Wrist,326,881,644,1096
4287.png,941,1433,PIP,153,616,212,695
4287.png,941,1433,DIP,110,558,167,633
4287.png,941,1433,MCP,248,704,335,818
4287.png,941,1433,Ulna,315,1045,418,1151
4287.png,941,1433,Radius,397,1050,570,1168
4294.png,1209,1493,PIP,482,291,556,387
4294.png,1209,1493,PIP,343,358,416,443
4294.png,1209,1493,PIP,678,344,746,426
4294.png,1209,1493,MCP,397,530,497,639
4294.png,1209,1493,MCP,317,581,412,684
4294.png,1209,1493,MCP,738,694,841,799
4294.png,1209,1493,DIP,475,180,544,268
4294.png,1209,1493,Wrist,384,811,687,1005
4294.png,1209,1493,MCP,494,499,592,609
4294.png,1209,1493,MCP,589,515,694,623
4294.png,1209,1493,PIP,856,618,960,708
4294.png,1209,1493,DIP,179,408,234,486
4294.png,1209,1493,DIP,297,246,362,332
4294.png,1209,1493,DIP,719,255,783,340
4294.png,1209,1493,Ulna,361,961,454,1085
4294.png,1209,1493,PIP,231,473,300,556
4294.png,1209,1493,Radius,436,960,605,1074
6433.png,2460,2970,DIP,653,840,796,1001
6433.png,2460,2970,DIP,848,608,986,761
6433.png,2460,2970,DIP,1132,401,1281,572
6433.png,2460,2970,DIP,1460,463,1597,623
6433.png,2460,2970,PIP,1735,1031,1893,1212
6433.png,2460,2970,PIP,735,981,858,1134
6433.png,2460,2970,PIP,903,771,1063,948
6433.png,2460,2970,PIP,1155,618,1326,807
6433.png,2460,2970,PIP,1423,650,1591,817
6433.png,2460,2970,MCP,1003,1092,1167,1303
6433.png,2460,2970,MCP,882,1200,1035,1394
6433.png,2460,2970,MCP,1180,1006,1342,1212
6433.png,2460,2970,MCP,1364,997,1551,1210
6433.png,2460,2970,MCP,1644,1275,1810,1459
6433.png,2460,2970,Radius,1227,1933,1531,2160
6433.png,2460,2970,Ulna,1059,1962,1275,2149
6433.png,2460,2970,Wrist,1033,1644,1641,2025
4234.png,801,1271,DIP,381,220,443,300
4234.png,801,1271,DIP,494,259,550,333
4234.png,801,1271,PIP,468,351,540,436
4234.png,801,1271,DIP,273,272,326,344
4234.png,801,1271,PIP,352,339,424,428
4234.png,801,1271,MCP,550,683,642,785
4234.png,801,1271,PIP,249,389,314,475
4234.png,801,1271,MCP,332,554,423,664
4234.png,801,1271,MCP,174,632,262,738
4234.png,801,1271,MCP,255,587,340,694
4234.png,801,1271,DIP,177,393,229,466
4234.png,801,1271,PIP,610,566,686,652
4234.png,801,1271,MCP,432,547,532,662
4234.png,801,1271,Wrist,246,861,562,1041
4234.png,801,1271,PIP,160,479,219,555
4234.png,801,1271,Ulna,231,1056,331,1155
4234.png,801,1271,Radius,310,1012,476,1134
4270.png,2320,2920,PIP,843,555,984,753
4270.png,2320,2920,PIP,1402,474,1548,675
4270.png,2320,2920,PIP,1116,436,1262,639
4270.png,2320,2920,PIP,1888,1015,2028,1192
4270.png,2320,2920,MCP,899,943,1097,1178
4270.png,2320,2920,DIP,1104,146,1236,326
4270.png,2320,2920,PIP,571,829,707,1004
4270.png,2320,2920,DIP,821,281,947,450
4270.png,2320,2920,MCP,1287,843,1516,1092
4270.png,2320,2920,DIP,1439,221,1574,398
4270.png,2320,2920,MCP,1086,878,1281,1103
4270.png,2320,2920,MCP,1679,1245,1892,1466
4270.png,2320,2920,MCP,707,1078,910,1291
4270.png,2320,2920,Wrist,954,1532,1582,1942
4270.png,2320,2920,DIP,490,659,620,822
4270.png,2320,2920,Ulna,927,1894,1113,2093
4270.png,2320,2920,Radius,1080,1830,1455,2085
4353.png,1093,1351,PIP,480,268,552,356
4353.png,1093,1351,PIP,612,308,684,392
4353.png,1093,1351,DIP,480,162,545,239
4353.png,1093,1351,PIP,357,319,425,404
4353.png,1093,1351,MCP,317,524,402,626
4353.png,1093,1351,PIP,261,425,319,497
4353.png,1093,1351,MCP,394,488,474,592
4353.png,1093,1351,DIP,336,221,395,288
4353.png,1093,1351,MCP,567,457,656,563
4353.png,1093,1351,Wrist,381,716,685,909
4353.png,1093,1351,MCP,475,454,556,554
4353.png,1093,1351,DIP,643,219,709,298
4353.png,1093,1351,MCP,729,616,816,712
4353.png,1093,1351,DIP,225,356,291,432
4353.png,1093,1351,PIP,829,538,914,634
4353.png,1093,1351,Ulna,401,883,483,997
4353.png,1093,1351,Radius,472,849,608,958
4275.png,991,1516,PIP,423,363,504,456
4275.png,991,1516,DIP,633,293,705,383
4275.png,991,1516,DIP,425,231,493,316
4275.png,991,1516,DIP,257,306,327,391
4275.png,991,1516,PIP,710,627,806,734
4275.png,991,1516,PIP,280,442,357,531
4275.png,991,1516,PIP,604,403,682,500
4275.png,991,1516,DIP,72,510,138,585
4275.png,991,1516,MCP,413,590,514,707
4275.png,991,1516,MCP,314,636,413,755
4275.png,991,1516,MCP,535,585,651,708
4275.png,991,1516,MCP,665,763,766,868
4275.png,991,1516,PIP,130,578,202,666
4275.png,991,1516,MCP,221,698,315,805
4275.png,991,1516,Wrist,311,934,646,1167
4275.png,991,1516,Ulna,287,1132,393,1242
4275.png,991,1516,Radius,370,1111,563,1227
6484.png,891,1603,DIP,137,614,224,712
6484.png,891,1603,DIP,308,473,392,566
6484.png,891,1603,DIP,530,434,621,539
6484.png,891,1603,DIP,665,508,748,605
6484.png,891,1603,PIP,684,799,780,909
6484.png,891,1603,PIP,190,694,265,787
6484.png,891,1603,PIP,329,594,426,702
6484.png,891,1603,PIP,495,564,598,679
6484.png,891,1603,PIP,621,611,724,712
6484.png,891,1603,MCP,339,792,439,920
6484.png,891,1603,MCP,247,840,340,958
6484.png,891,1603,MCP,439,786,538,911
6484.png,891,1603,MCP,544,794,658,923
6484.png,891,1603,MCP,616,948,717,1060
6484.png,891,1603,Radius,338,1233,522,1370
6484.png,891,1603,Ulna,271,1222,402,1336
6484.png,891,1603,Wrist,247,1078,617,1309
6461.png,1220,1555,DIP,187,422,294,542
6461.png,1220,1555,DIP,416,239,519,353
6461.png,1220,1555,DIP,611,185,722,313
6461.png,1220,1555,DIP,768,247,870,366
6461.png,1220,1555,PIP,970,676,1088,811
6461.png,1220,1555,PIP,228,520,320,634
6461.png,1220,1555,PIP,413,380,532,512
6461.png,1220,1555,PIP,579,319,706,460
